annotation_id,annotation_uri,pleiades_place_id,pleiades_place_uri,citation_reference,citation_uri,citation_title,creator,created,place_name,latitude,longitude,location_precision,place_description
34,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#34,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.116,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116,"Thucydides, The Peloponnesian War 3.116",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
35,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#35,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.116,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116,"Thucydides, The Peloponnesian War 3.116",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
349,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#349,550738,http://pleiades.stoa.org/places/550738#this,greekLit:tlg0003.tlg001.perseus-eng3:3.2,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.2,"Thucydides, The Peloponnesian War 3.2",Perseus Digital Library,2013-10-16,Methymna,39.369167,26.176891,precise,"An ancient place, cited: BAtlas 56 C3 Methymna"
350,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#350,550738,http://pleiades.stoa.org/places/550738#this,greekLit:tlg0003.tlg001.perseus-eng3:3.18,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.18,"Thucydides, The Peloponnesian War 3.18",Perseus Digital Library,2013-10-16,Methymna,39.369167,26.176891,precise,"An ancient place, cited: BAtlas 56 C3 Methymna"
357,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#357,570504,http://pleiades.stoa.org/places/570505#this,greekLit:tlg0003.tlg001.perseus-eng3:3.96,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.96,"Thucydides, The Peloponnesian War 3.96",Perseus Digital Library,2013-10-16,Nemea,37.80905853069708,22.710679536483795,precise,"Today an intermittent drainage known as the Nemeas or Zapantis that rises in the vicinity of ancient Nemea and flows north, emptying into the Corinthian Gulf near the modern village of Vrachati."
376,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#376,599577,http://pleiades.stoa.org/places/599578#this,greekLit:tlg0003.tlg001.perseus-eng3:3.34,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.34,"Thucydides, The Peloponnesian War 3.34",Perseus Digital Library,2013-10-16,Colophon,38.108253,27.1483085,precise,A port city founded by Aeolian settlers at the mouth of the River Avci.
393,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#393,481818,http://pleiades.stoa.org/places/481818#this,greekLit:tlg0003.tlg001.perseus-eng3:3.70,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.70,"Thucydides, The Peloponnesian War 3.70",Perseus Digital Library,2013-10-16,Dyrr(h)achium/Epidamnos,41.3163425,19.447355,precise,A city founded in 627 B.C. by colonists from Corinth and Kerkyra.
443,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#443,599612,http://pleiades.stoa.org/places/599612#this,greekLit:tlg0003.tlg001.perseus-eng3:3.32,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.32,"Thucydides, The Peloponnesian War 3.32",Perseus Digital Library,2013-10-16,Ephesus/Arsinoe(ia),37.940164271971945,27.34240298195866,precise,Ephesus/Arsinoe(ia) was the most important ancient metropolis of Ionian Asia Minor.
444,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#444,599612,http://pleiades.stoa.org/places/599612#this,greekLit:tlg0003.tlg001.perseus-eng3:3.104,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104,"Thucydides, The Peloponnesian War 3.104",Perseus Digital Library,2013-10-16,Ephesus/Arsinoe(ia),37.940164271971945,27.34240298195866,precise,Ephesus/Arsinoe(ia) was the most important ancient metropolis of Ionian Asia Minor.
448,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#448,550911,http://pleiades.stoa.org/places/550911#this,greekLit:tlg0003.tlg001.perseus-eng3:3.28,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.28,"Thucydides, The Peloponnesian War 3.28",Perseus Digital Library,2013-10-16,Tenedos,39.8343172,26.06963835,precise,"An ancient place, cited: BAtlas 56 C2 Tenedos"
450,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#450,550911,http://pleiades.stoa.org/places/550911#this,greekLit:tlg0003.tlg001.perseus-eng3:3.35,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.35,"Thucydides, The Peloponnesian War 3.35",Perseus Digital Library,2013-10-16,Tenedos,39.8343172,26.06963835,precise,"An ancient place, cited: BAtlas 56 C2 Tenedos"
470,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#470,580114,http://pleiades.stoa.org/places/580114#this,greekLit:tlg0003.tlg001.perseus-eng3:3.91,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.91,"Thucydides, The Peloponnesian War 3.91",Perseus Digital Library,2013-10-16,Tanagra,38.309293524969846,23.58648747783495,precise,Tanagra was an ancient settlement of Boeotia.
504,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#504,541063,http://pleiades.stoa.org/places/541063#this,greekLit:tlg0003.tlg001.perseus-eng3:3.36,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.36,"Thucydides, The Peloponnesian War 3.36",Perseus Digital Library,2013-10-16,Plataea,38.2210753,23.27353775,precise,"Plataea is an ancient city of Boeotia, located south of Thebes. In 479 BC Plataea was the site of the Battle of Plataea, in which an allied Greek army defeated the Persians. Plataea was destroyed in the Peloponnesian War by Thebes and Sparta in 427 BC and rebuilt in 386 BC."
505,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#505,541063,http://pleiades.stoa.org/places/541063#this,greekLit:tlg0003.tlg001.perseus-eng3:3.52,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.52,"Thucydides, The Peloponnesian War 3.52",Perseus Digital Library,2013-10-16,Plataea,38.2210753,23.27353775,precise,"Plataea is an ancient city of Boeotia, located south of Thebes. In 479 BC Plataea was the site of the Battle of Plataea, in which an allied Greek army defeated the Persians. Plataea was destroyed in the Peloponnesian War by Thebes and Sparta in 427 BC and rebuilt in 386 BC."
506,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#506,541063,http://pleiades.stoa.org/places/541063#this,greekLit:tlg0003.tlg001.perseus-eng3:3.57,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.57,"Thucydides, The Peloponnesian War 3.57",Perseus Digital Library,2013-10-16,Plataea,38.2210753,23.27353775,precise,"Plataea is an ancient city of Boeotia, located south of Thebes. In 479 BC Plataea was the site of the Battle of Plataea, in which an allied Greek army defeated the Persians. Plataea was destroyed in the Peloponnesian War by Thebes and Sparta in 427 BC and rebuilt in 386 BC."
507,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#507,541063,http://pleiades.stoa.org/places/541063#this,greekLit:tlg0003.tlg001.perseus-eng3:3.61,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.61,"Thucydides, The Peloponnesian War 3.61",Perseus Digital Library,2013-10-16,Plataea,38.2210753,23.27353775,precise,"Plataea is an ancient city of Boeotia, located south of Thebes. In 479 BC Plataea was the site of the Battle of Plataea, in which an allied Greek army defeated the Persians. Plataea was destroyed in the Peloponnesian War by Thebes and Sparta in 427 BC and rebuilt in 386 BC."
508,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#508,541063,http://pleiades.stoa.org/places/541063#this,greekLit:tlg0003.tlg001.perseus-eng3:3.68,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.68,"Thucydides, The Peloponnesian War 3.68",Perseus Digital Library,2013-10-16,Plataea,38.2210753,23.27353775,precise,"Plataea is an ancient city of Boeotia, located south of Thebes. In 479 BC Plataea was the site of the Battle of Plataea, in which an allied Greek army defeated the Persians. Plataea was destroyed in the Peloponnesian War by Thebes and Sparta in 427 BC and rebuilt in 386 BC."
534,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#534,570531,http://pleiades.stoa.org/places/570531#this,greekLit:tlg0003.tlg001.perseus-eng3:3.8,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.8,"Thucydides, The Peloponnesian War 3.8",Perseus Digital Library,2013-10-16,Olympia,37.63868719225715,21.630843690589423,precise,Ancient sanctuary of Zeus and home of the ancient Olympic games.
535,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#535,491677,http://pleiades.stoa.org/places/491677#this,greekLit:tlg0003.tlg001.perseus-eng3:3.8,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.8,"Thucydides, The Peloponnesian War 3.8",Perseus Digital Library,2013-10-16,Olympos (mountain in Greece),40.085556,22.358611,precise,"Olympus is the highest mountain in Greece, located in the Olympus Range. In Greek mythology, it is the home of the Olympian gods."
594,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#594,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.3,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.3,"Thucydides, The Peloponnesian War 3.3",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
595,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#595,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.5,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.5,"Thucydides, The Peloponnesian War 3.5",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
