pleiades_place_id,place_name,mention_count,person_count,individual_count,group_count,pct_named,latitude,longitude,location_precision,all_citations
543732,Ionia,5,,,,,,,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.31; greekLit:tlg0003.tlg001.perseus-eng3:3.32; greekLit:tlg0003.tlg001.perseus-eng3:3.33; greekLit:tlg0003.tlg001.perseus-eng3:3.36; greekLit:tlg0003.tlg001.perseus-eng3:3.76
541063,Plataea,5,33.0,4.0,29.0,12.1,38.2210753,23.27353775,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.36; greekLit:tlg0003.tlg001.perseus-eng3:3.52; greekLit:tlg0003.tlg001.perseus-eng3:3.57; greekLit:tlg0003.tlg001.perseus-eng3:3.61; greekLit:tlg0003.tlg001.perseus-eng3:3.68
570182,Corinthus,4,4.0,2.0,2.0,50.0,37.90564164345828,22.878614390874485,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.15; greekLit:tlg0003.tlg001.perseus-eng3:3.70; greekLit:tlg0003.tlg001.perseus-eng3:3.85
543694,Pyrrha,3,,,,,,,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.18; greekLit:tlg0003.tlg001.perseus-eng3:3.25; greekLit:tlg0003.tlg001.perseus-eng3:3.35
452416,Rhegion,3,,,,,38.109279,15.64393,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.115; greekLit:tlg0003.tlg001.perseus-eng3:3.86; greekLit:tlg0003.tlg001.perseus-eng3:3.88
642555,Unknown (642555),3,,,,,,,,greekLit:tlg0003.tlg001.perseus-eng3:3.18; greekLit:tlg0003.tlg001.perseus-eng3:3.25; greekLit:tlg0003.tlg001.perseus-eng3:3.35
540736,Dirphys,3,,,,,38.6275,23.8427778,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.101; greekLit:tlg0003.tlg001.perseus-eng3:3.57; greekLit:tlg0003.tlg001.perseus-eng3:3.92
540726,Delphi,3,,,,,38.482289,22.501169,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.101; greekLit:tlg0003.tlg001.perseus-eng3:3.57; greekLit:tlg0003.tlg001.perseus-eng3:3.92
570474,Melos,2,1.0,0.0,1.0,0.0,36.743864,24.423276,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.91; greekLit:tlg0003.tlg001.perseus-eng3:3.94
599587,Delos,2,,,,,37.397274,25.268194,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.104; greekLit:tlg0003.tlg001.perseus-eng3:3.29
570468,Megara,2,1.0,0.0,1.0,0.0,37.985078,23.340163,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.51; greekLit:tlg0003.tlg001.perseus-eng3:3.68
648614,Cybistra,2,,,,,37.589731,34.152792500000004,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.92
452333,Heraclea,2,,,,,40.21972967324548,16.670397870167548,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.92
