UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS;origin;pleiades_id;side;anonymous;offset;place_name;latitude;longitude;location_precision
4887837e-c66a-44d0-8e68-45d1a3a19179;book3_thucydides_utf8.txt;Dorieus;char-offset:7580;PERSON;origin:Rhodes|pleiades:589836|side:Athenian;Rhodes;589836;Athenian;FALSE;7580.0;Kamiros;36.33611799050426;27.92123509644663;precise
a0b669ff-54ed-4690-825f-32b7400fb08e;book3_thucydides_utf8.txt;Athenians;char-offset:8315;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;8315.0;Athenae;37.97158606761233;23.723824697002375;rough
bde24841-a5fe-47e5-807d-79f75a6c76cf;book3_thucydides_utf8.txt;Athenians;char-offset:8923;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;8923.0;Athenae;37.97158606761233;23.723824697002375;rough
b8f8d828-c11e-4ae9-a63d-f68b28e34183;book3_thucydides_utf8.txt;Athenians;char-offset:9069;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;9069.0;Athenae;37.97158606761233;23.723824697002375;rough
583adf40-50e6-432f-8365-4bd96c2ad137;book3_thucydides_utf8.txt;Athenians;char-offset:9202;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;9202.0;Athenae;37.97158606761233;23.723824697002375;rough
5dbcfc5b-10f8-49d2-83c6-b5055f784426;book3_thucydides_utf8.txt;Athenians;char-offset:13145;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;13145.0;Athenae;37.97158606761233;23.723824697002375;rough
7ba92ce4-0115-4fa9-ae4c-ac78fbed15f8;book3_thucydides_utf8.txt;Athenians;char-offset:13255;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;13255.0;Athenae;37.97158606761233;23.723824697002375;rough
17d4c802-2611-455c-959f-d3ae96f9b12b;book3_thucydides_utf8.txt;Athenians;char-offset:13702;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;13702.0;Athenae;37.97158606761233;23.723824697002375;rough
01518380-1f0f-45b0-9a2e-56f8bccf82c9;book3_thucydides_utf8.txt;Athenians;char-offset:14748;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;14748.0;Athenae;37.97158606761233;23.723824697002375;rough
d6b7d5fc-4529-4697-a061-7ef650843067;book3_thucydides_utf8.txt;Athenians;char-offset:16219;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;16219.0;Athenae;37.97158606761233;23.723824697002375;rough
8c3de9f5-ffec-40ae-a45a-f4ce72e75817;book3_thucydides_utf8.txt;the citizens of Athens;char-offset:16529;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;16529.0;Athenae;37.97158606761233;23.723824697002375;rough
0dce7d6b-9155-45fc-a1b9-29886b60864f;book3_thucydides_utf8.txt;Athenians;char-offset:17256;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;17256.0;Athenae;37.97158606761233;23.723824697002375;rough
1c296e56-f3a3-43f8-ba6e-29d51198bb76;book3_thucydides_utf8.txt;Phormio;char-offset:18163;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;18163.0;Athenae;37.97158606761233;23.723824697002375;rough
a94c4197-c957-458c-9d8e-c3fa8349d98b;book3_thucydides_utf8.txt;Athenians;char-offset:19019;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;19019.0;Athenae;37.97158606761233;23.723824697002375;rough
f0284e0a-681b-47f8-aa8d-36593926c3fd;book3_thucydides_utf8.txt;Paches;char-offset:19184;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;19184.0;Athenae;37.97158606761233;23.723824697002375;rough
9c5e47f7-4c7f-4c5b-9963-9b0ab507817e;book3_thucydides_utf8.txt;Epicurus;char-offset:19199;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;19199.0;Athenae;37.97158606761233;23.723824697002375;rough
9f0e6270-0ffc-48b4-8512-b5efe3539153;book3_thucydides_utf8.txt;Athenians;char-offset:19527;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;19527.0;Athenae;37.97158606761233;23.723824697002375;rough
a1104238-7707-4ee8-af56-c75c9c4ad2c9;book3_thucydides_utf8.txt;Lysicles;char-offset:19741;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;19741.0;Athenae;37.97158606761233;23.723824697002375;rough
12aee37c-74fa-4d34-9e4a-2ca974040f8c;book3_thucydides_utf8.txt;Lysicles;char-offset:19853;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;19853.0;Athenae;37.97158606761233;23.723824697002375;rough
547d3f9d-292a-425a-8ecc-68830d64f50b;book3_thucydides_utf8.txt;Plataeans;char-offset:20087;PERSON;group|origin:Platea|pleiades:541063|side:Athenian;Platea;541063;Athenian;TRUE;20087.0;Plataea;38.221075299999995;23.27353775;precise
f0923186-d336-4ba6-89e7-c4f9279622dc;book3_thucydides_utf8.txt;Athenians;char-offset:20310;PERSON;group|origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;TRUE;20310.0;Athenae;37.97158606761233;23.723824697002375;rough
373a1525-4653-4bcd-99c8-6863f1561840;book3_thucydides_utf8.txt;Theaenetus;char-offset:20448;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;20448.0;Athenae;37.97158606761233;23.723824697002375;rough
