UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS;origin;pleiades_id;side;anonymous;offset;place_name;latitude;longitude;location_precision;mention_count
e2ef7fd1-bdb7-427e-b618-2013943301d6;book3_thucydides_utf8.txt;Demosthenes;char-offset:140649;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;140649.0;Athenae;37.97158606761233;23.723824697002375;rough;27
554dc832-4565-4755-859b-bebf3a983fec;book3_thucydides_utf8.txt;Demosthenes;char-offset:116106;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;116106.0;Athenae;37.97158606761233;23.723824697002375;rough;27
a4e2bb4f-5eb6-42a8-a21a-d92ca91109c6;book3_thucydides_utf8.txt;Demosthenes;char-offset:134486;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;134486.0;Athenae;37.97158606761233;23.723824697002375;rough;27
eb955f4f-4d29-4f82-9c31-ba6f08eed6c9;book3_thucydides_utf8.txt;Demosthenes;char-offset:140167;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;140167.0;Athenae;37.97158606761233;23.723824697002375;rough;27
74b929ae-4d35-48ea-ade0-c465a4e1a64f;book3_thucydides_utf8.txt;Demosthenes;char-offset:121736;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;121736.0;Athenae;37.97158606761233;23.723824697002375;rough;27
d091e4c9-14ae-4ac5-a3ea-a7db4a945378;book3_thucydides_utf8.txt;Demosthenes;char-offset:131828;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;131828.0;Athenae;37.97158606761233;23.723824697002375;rough;27
c6ebc839-02cc-4236-ae5e-137d00fcd314;book3_thucydides_utf8.txt;Demosthenes;char-offset:119392;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;119392.0;Athenae;37.97158606761233;23.723824697002375;rough;27
62b95a64-945e-4dde-8870-0d1368f43cc4;book3_thucydides_utf8.txt;Demosthenes;char-offset:118630;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;118630.0;Athenae;37.97158606761233;23.723824697002375;rough;27
a19e3424-af84-476b-bdc6-7648e85d44ec;book3_thucydides_utf8.txt;Demosthenes;char-offset:137136;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;137136.0;Athenae;37.97158606761233;23.723824697002375;rough;27
7a0ac2cf-6731-454c-89ed-822f91e666cd;book3_thucydides_utf8.txt;Demosthenes;char-offset:117011;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;117011.0;Athenae;37.97158606761233;23.723824697002375;rough;27
205626a5-255b-4017-b12a-5bdbb64ff830;book3_thucydides_utf8.txt;Demosthenes;char-offset:115885;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;115885.0;Athenae;37.97158606761233;23.723824697002375;rough;27
e23ad92f-94e4-479d-ae86-4f4db45100d0;book3_thucydides_utf8.txt;Demosthenes;char-offset:121901;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;121901.0;Athenae;37.97158606761233;23.723824697002375;rough;27
686a61be-64c7-4a47-9287-6e3e72f91ea9;book3_thucydides_utf8.txt;Demosthenes;char-offset:136807;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;136807.0;Athenae;37.97158606761233;23.723824697002375;rough;27
9b1de89d-44bd-4488-9985-a6be46563b0e;book3_thucydides_utf8.txt;Demosthenes;char-offset:136645;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;136645.0;Athenae;37.97158606761233;23.723824697002375;rough;27
